player,league,nationality
MS Chapman,Overseas,NZ/HKG
Fawad Ali,PSL,PAK
S Badree,CPL,WI
Bilal Asif,PSL,PAK
KJ Abbott,SA20,SA
Azhar Ali,PSL,PAK
BAW Mendis,LPL,SL
Khalid Latif,PSL,PAK
KR Mayers,CPL,WI
Saad Masood,PSL,PAK
BJ Dwarshuis,BBL,AUS
Maaz Sadaqat,PSL,PAK
M Bryant,BBL,AUS
SS Cottrell,CPL,WI
Mukhtar Ahmed,Overseas,USA/PAK
Khalid Usman,PSL,PAK
PR Stirling,Overseas,IRE
Mohammad Imran (2),Overseas,BHR
L Tucker,Overseas,BER
Zeeshan Zameer,PSL,PAK
BA King,CPL,WI
Waqar Salamkheil,Overseas,AFG
C Campher,Overseas,IRE
Salman Butt,PSL,PAK
BRM Taylor,Overseas,ZIM
AF Milne,Overseas,NZ
Usman Tariq,PSL,PAK
JW Hastings,BBL,AUS
Sabbir Rahman,BPL,BAN
Nabi Gul,PSL,PAK
RN ten Doeschate,Overseas,NED/SA
Umair Masood,PSL,PAK
Mohammad Zeeshan,PSL,PAK
D Ramdin,CPL,WI
Bismillah Khan,PSL,PAK
NL McCullum,Overseas,NZ
Faisal Akram,PSL,PAK
JL du Plooy,T20 Blast/Hundred,ENG
D Foxcroft,Overseas,NZ/SA
Arish Ali,PSL,PAK
JP Duminy,SA20,SA
ST Finn,T20 Blast/Hundred,ENG
KA Jamieson,Overseas,NZ
DW Steyn,SA20,SA
WL Madsen,Overseas,ITA
Salman Mirza,PSL,PAK
WG Jacks,T20 Blast/Hundred,ENG
Athar Mahmood,PSL,PAK
S Prasanna,LPL,SL
Saad Ali,PSL,PAK
DAS Gunaratne,LPL,SL
DR Mousley,T20 Blast/Hundred,ENG
PR Brown,T20 Blast/Hundred,ENG
Shahid Aziz,PSL,PAK
Nasir Nawaz,PSL,PAK
Mohammad Huraira,BPL,BAN
GC Viljoen,SA20,SA
Abdul Nasir,PSL,PAK
Shakeel Ansar,PSL,PAK
Aftab Ibrahim,PSL,PAK
OC McCoy,CPL,WI
DJ Vilas,SA20,SA
JW Wells,BBL,AUS
BAC Howell,T20 Blast/Hundred,ENG
A Lyth,T20 Blast/Hundred,ENG
JD Wildermuth,BBL,AUS
DPMD Jayawardene,LPL,SL
Adnan Rasool,PSL,PAK
IR Bell,T20 Blast/Hundred,ENG
JM Bairstow,T20 Blast/Hundred,ENG
Mohammad Mohsin,Overseas,USA/PAK
MW Forde,CPL,WI
Faizan Khan,PSL,PAK
Kashif Bhatti,PSL,PAK
Maaz Khan,Overseas,LES
JC Archer,Overseas,ENG/WI
Mohammad Azab,PSL,PAK
OP Stone,T20 Blast/Hundred,ENG
Zia-ul-Haq,Overseas,USA/PAK
Adil Amin,PSL,PAK
Shawaiz Irfan,PSL,PAK
Azhar Mahmood,PSL,PAK
HF Gurney,T20 Blast/Hundred,ENG
Izharulhaq Naveed,Overseas,AFG
Zahoor Khan,Overseas,UAE/PAK
MN van Wyk,SA20,SA
Anamul Haque,BPL,BAN
SM Ervine,Overseas,ZIM
RR Emrit,CPL,WI
Sohaibullah,PSL,PAK
Sajjad Ali,PSL,PAK
N Thushara,LPL,SL
MP Breetzke,SA20,SA
T de Zorzi,SA20,SA
JT Smuts,SA20,SA
PWA Mulder,SA20,SA
H Klaasen,SA20,SA
KMA Paul,Overseas,Overseas
KA Maharaj,SA20,SA
RJW Topley,T20 Blast/Hundred,ENG
D Ferreira,SA20,SA
DAJ Bracewell,Overseas,NZ
Dayyaan Galiem,SA20,SA
LB Williams,SA20,SA
N Burger,SA20,SA
RD Rickelton,SA20,SA
SM Curran,T20 Blast/Hundred,ENG
D Brevis,SA20,SA
TP Kaber,SA20,SA
K Rabada,SA20,SA
N van Heerden,SA20,SA
K Verreynne,SA20,SA
CN Ackermann,Overseas,NED
TB de Bruyn,SA20,SA
S Muthusamy,SA20,SA
AU Rashid,T20 Blast/Hundred,ENG
E Bosch,SA20,SA
DM Dupavillon,SA20,SA
DG Bedingham,SA20,SA
Z Crawley,T20 Blast/Hundred,ENG
TB Abell,T20 Blast/Hundred,ENG
AK Markram,SA20,SA
J Hermann,SA20,SA
M Jansen,SA20,SA
T Stubbs,SA20,SA
SR Harmer,SA20,SA
OEG Baartman,SA20,SA
RJ Gleeson,T20 Blast/Hundred,ENG
B Parsons,SA20,SA
KS Williamson,Overseas,NZ
Q de Kock,SA20,SA
JF Smith,SA20,SA
CR Woakes,T20 Blast/Hundred,ENG
C Esterhuizen,SA20,SA
BE Hendricks,SA20,SA
R Herrmann,SA20,SA
R Shepherd,CPL,WI
C Fortuin,SA20,SA
A Nortje,SA20,SA
G Roelofsen,SA20,SA
D Potgieter,SA20,SA
DP Conway,Overseas,NZ/SA
WJ Lubbe,SA20,SA
E Jones,SA20,SA
M Theekshana,LPL,SL
L Sipamla,SA20,SA
MP Stoinis,BBL,AUS
PE Kruger,SA20,SA
DJ Worrall,BBL,AUS
Sediqullah Atal,Overseas,AFG
C Bosch,SA20,SA
TA Boult,Overseas,NZ
LG Pretorius,SA20,SA
RA Herman,SA20,SA
DN Wellalage,LPL,SL
KD Karthik,IPL,IND
AL Phehlukwayo,SA20,SA
BC Fortuin,SA20,SA
KT Maphaka,SA20,SA
CJ Dala,SA20,SA
JC Buttler,T20 Blast/Hundred,ENG
M Van Buuren,SA20,SA
FD Adams,SA20,SA
L Ngidi,SA20,SA
BS Makhanya,SA20,SA
SJ Erwee,SA20,SA
RE van der Merwe,Overseas,NED
SSB Magala,SA20,SA
G Coetzee,SA20,SA
AM Phangiso,SA20,SA
KI Simmonds,SA20,SA
JP King,SA20,SA
RR Simmonds,CPL,WI
Codi Yusuf,SA20,SA
D Jansen,SA20,SA
N Peter,SA20,SA
SW Billings,T20 Blast/Hundred,ENG
TK Curran,T20 Blast/Hundred,ENG
LS Livingstone,T20 Blast/Hundred,ENG
MM Ali,T20 Blast/Hundred,ENG
RS Bopara,T20 Blast/Hundred,ENG
SR Patel,T20 Blast/Hundred,ENG
T Kohler-Cadmore,T20 Blast/Hundred,ENG
JJ Roy,T20 Blast/Hundred,ENG
WCF Smeed,T20 Blast/Hundred,ENG
JM Vince,T20 Blast/Hundred,ENG
JE Root,T20 Blast/Hundred,ENG
BA Carse,T20 Blast/Hundred,ENG
N Brand,T20 Blast/Hundred,ENG
C Overton,T20 Blast/Hundred,ENG
MJ Ackerman,SA20,SA
K Lion-Cachet,SA20,SA
JP Behrendorff,BBL,AUS
M Pretorius,SA20,SA
T van Vuuren,SA20,SA
E Malinga,LPL,SL
B Swanepoel,SA20,SA
JA Turner,Overseas,ENG/SA
T Bavuma,SA20,SA
CJ King,SA20,SA
S Stolk,SA20,SA
C Jonker,SA20,SA
P Subrayen,SA20,SA
A Simelane,SA20,SA
SR Hain,Overseas,ENG/AUS
WB Marshall,SA20,SA
M Pathirana,LPL,SL
KJ Dudgeon,SA20,SA
CG Benjamin,Overseas,ENG/SA
T Luus,SA20,SA
MJ Potts,T20 Blast/Hundred,ENG
DL Piedt,SA20,SA
M Boast,SA20,SA
GG Peters,SA20,SA
JN Malan,SA20,SA
GHS Garton,T20 Blast/Hundred,ENG
BR McDermott,BBL,AUS
TS Rogers,BBL,AUS
SJ Cook,T20 Blast/Hundred,ENG
I Manack,SA20,SA
D Marais,SA20,SA
A Gqamane,SA20,SA
MP Siboto,SA20,SA
A Dananjaya,LPL,SL
MS Crane,T20 Blast/Hundred,ENG
K Lewis,CPL,WI
Afif Hossain,BPL,BAN
Mehedi Hasan Miraz,BPL,BAN
Shamim Hossain,BPL,BAN
Naeem Islam,BPL,BAN
Nasum Ahmed,BPL,BAN
Mukidul Islam,BPL,BAN
Shoriful Islam,BPL,BAN
Mohammad Shahzad,BPL,BAN
Jahurul Islam,BPL,BAN
Mohammad Naim,BPL,BAN
Shuvagata Hom,BPL,BAN
I Udana,LPL,SL
Arafat Sunny,BPL,BAN
Ebadat Hossain,BPL,BAN
Rubel Hossain,BPL,BAN
Mahedi Hasan,BPL,BAN
Parvez Hossain Emon,BPL,BAN
Rakibul Hasan,Overseas,ITA/BAN
Nurul Hasan,BPL,BAN
Hasan Mahmud,BPL,BAN
Towfiq Khan,BPL,BAN
Darwish Rasooli,Overseas,AFG
Ziaur Rahman,Overseas,AFG
